recno,RA,DEC,Name,z,n_z,nR,B-V,U-B,Vmag,n_Vmag,r_Vmag,n_RAh,Sp,r_Sp,Sp2,r_Sp2,FC,RA1950,DE1950
112,202.14874999999998,11.754999999999999,2E 1326+1200,," ",*,,,19.0," ",0,A,BL,1364,,0,0,201.52999999999997,12.013333333333332
113,202.20458333333332,-0.4075,2QZ J132849-0024,," ",*,,-0.71,19.56,*,504,O,BL,504," *",1260,0,201.5633333333333,-0.14916666666666664
114,204.26291666666663,-0.6527777777777777,2QZ J133703-0039,," ",*,,-0.94,19.08,*,504,O,BL,504," *",1260,0,203.62124999999997,-0.39833333333333326
115,206.08083333333332,67.0486111111111,SDSS J13443+6702,," ",*,0.12,-0.7,19.81," ",428,O,BL,428," *",1133,0,205.72916666666663,67.29888888888888
116,210.08749999999998,0.3322222222222222,Q J14003+0019,," ",*,,-0.97,19.89,*,1261,O,BL,1261," *",1260,0,209.44791666666663,0.5738888888888888
117,210.5320833333333,-1.5091666666666665,Q J14021-0130,," "," ",,-0.71,19.71,*,1261,O,BL,1261," *",1518,0,209.88791666666663,-1.268611111111111
118,211.63499999999996,1.8105555555555553,SDSS J14065+0148,1.084," ",*,0.3,-0.59,18.53," ",3,O,,3," *",1133,0,210.99916666666664,2.048333333333333
119,211.8783333333333,-5.169444444444443,NPM1G-04.0478,0.38," ",*,,,15.79," ",0,O,Q,769," G",1433,0,211.2245833333333,-4.932222222222221
120,212.3183333333333,-0.003333333333333333,Q J14092-0000,2.128," ",*,,-0.6,18.84,*,1261,O,BL,504," *",1133,0,211.67791666666665,0.23277777777777775
121,215.36666666666665,-2.0091666666666663,2QZ J142127-0200,," ",*,,-1.0,18.85,*,504,O,BL,504," *",1260,0,214.7208333333333,-1.7813888888888887
122,220.7020833333333,0.26111111111111107,SDSS J14428+0015,1.123," "," ",1.92,-0.41,21.39," ",3,O,,3," ?",1891,0,220.06249999999997,0.4730555555555555
123,227.90291666666664,1.9216666666666664,SDSS J15116+0155,2.229," ",*,0.12,-0.91,20.2," ",167,O,,167," *",1133,0,227.26958333333332,2.1094444444444442
124,245.64124999999996,10.218888888888888,MC 1620+103,," "," ",,,18.4," ",0," ",BL,2474," *",357,124,245.04624999999996,10.334999999999999
125,248.47166666666664,43.1861111111111,SDSS J16338+4311,1.058," ",*,0.91,0.4,21.05," ",1890,O,,1890," ?",1891,0,248.07416666666663,43.28916666666666
126,253.91041666666663,37.37972222222222,SDSS J16556+3722,0.543," ",*,0.16,-0.72,18.64," ",3,O,,3," *",1133,0,253.47416666666663,37.45777777777777
127,259.3429166666666,58.099999999999994,SBS 1716+581,0.58," ",*,0.05,,16.91," ",382,O,Q,2015," *",1133,0,259.14166666666665,58.15194444444444
